qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.03293609619140625,0.06270074844360352,0.059508323669433594,0.06813240051269531,0.07513809204101562,0.10085511207580566,0.0672605037689209
0.03079056739807129,0.06728577613830566,0.0561518669128418,0.0680079460144043,0.0738372802734375,0.10310244560241699,0.06633186340332031
0.026369571685791016,0.06691861152648926,0.05436253547668457,0.06541204452514648,0.074005126953125,0.10754704475402832,0.0674281120300293
0.027215003967285156,0.06359553337097168,0.05878901481628418,0.07009243965148926,0.06915283203125,0.1122279167175293,0.06840705871582031
0.026233434677124023,0.06970906257629395,0.05632376670837402,0.07057905197143555,0.07485628128051758,0.1034085750579834,0.06794071197509766
0.025049686431884766,0.0740060806274414,0.05675148963928223,0.07156586647033691,0.07138204574584961,0.10390925407409668,0.06615233421325684
0.026417016983032227,0.0685582160949707,0.05798506736755371,0.0739431381225586,0.07131409645080566,0.10317659378051758,0.06658077239990234
0.02691054344177246,0.06524920463562012,0.06248116493225098,0.06872725486755371,0.07255840301513672,0.09629654884338379,0.06677484512329102
0.02538275718688965,0.06698465347290039,0.06318926811218262,0.07186365127563477,0.07293963432312012,0.09828805923461914,0.06727933883666992
0.025471925735473633,0.06614971160888672,0.057694435119628906,0.07923412322998047,0.07395386695861816,0.09524250030517578,0.06718611717224121
0.02518630027770996,0.07019281387329102,0.06372737884521484,0.07788348197937012,0.07411718368530273,0.09578847885131836,0.0671236515045166
0.027110576629638672,0.07387661933898926,0.06884384155273438,0.06574082374572754,0.0761420726776123,0.09781908988952637,0.06732940673828125
0.02596735954284668,0.06695675849914551,0.06791377067565918,0.07697701454162598,0.07479405403137207,0.09679865837097168,0.06772375106811523
0.025343656539916992,0.061247825622558594,0.0616452693939209,0.07452249526977539,0.07171821594238281,0.10593056678771973,0.06677126884460449
0.027008533477783203,0.0636758804321289,0.056680917739868164,0.07471728324890137,0.0754401683807373,0.09723925590515137,0.06544828414916992
0.025359630584716797,0.06046247482299805,0.05809521675109863,0.07843852043151855,0.07388997077941895,0.0958702564239502,0.06517863273620605
0.02606678009033203,0.06855154037475586,0.06135416030883789,0.07729959487915039,0.07246780395507812,0.09870338439941406,0.06662869453430176
0.025075674057006836,0.06603813171386719,0.05664563179016113,0.07317876815795898,0.0791013240814209,0.1040351390838623,0.07210636138916016
0.026875734329223633,0.06285858154296875,0.06013369560241699,0.07311820983886719,0.07272887229919434,0.09752511978149414,0.0656442642211914
0.02735733985900879,0.06786656379699707,0.056717872619628906,0.0691843032836914,0.07226347923278809,0.0984811782836914,0.0659489631652832
0.025895118713378906,0.06987786293029785,0.05682373046875,0.07536005973815918,0.0702369213104248,0.09787344932556152,0.0644218921661377
0.025936603546142578,0.06073403358459473,0.056061506271362305,0.07609176635742188,0.07120585441589355,0.10074877738952637,0.06506705284118652
0.027316570281982422,0.0675966739654541,0.06060051918029785,0.07277369499206543,0.07168698310852051,0.10418844223022461,0.06695675849914551
0.026531219482421875,0.07311797142028809,0.0620875358581543,0.07224702835083008,0.07018280029296875,0.11966967582702637,0.06734418869018555
0.026121139526367188,0.07807064056396484,0.05922961235046387,0.07584500312805176,0.07307291030883789,0.10848045349121094,0.06564664840698242
0.02630448341369629,0.07639050483703613,0.07753467559814453,0.06510591506958008,0.07210946083068848,0.10848617553710938,0.06578183174133301
0.0322117805480957,0.07905721664428711,0.06260395050048828,0.07134652137756348,0.08608055114746094,0.11159706115722656,0.06589007377624512
0.02652287483215332,0.06730890274047852,0.057753801345825195,0.07999348640441895,0.0710744857788086,0.0999448299407959,0.06738686561584473
0.027866125106811523,0.06697964668273926,0.05988621711730957,0.07291698455810547,0.09094762802124023,0.09844732284545898,0.06606745719909668
0.03308248519897461,0.06825089454650879,0.05590415000915527,0.0677635669708252,0.07968330383300781,0.09805059432983398,0.06598711013793945
0.03042316436767578,0.08091974258422852,0.054527997970581055,0.07021570205688477,0.07752370834350586,0.09840941429138184,0.06638407707214355
0.031069278717041016,0.06958818435668945,0.05617213249206543,0.06839585304260254,0.07226777076721191,0.1024618148803711,0.06657576560974121
